aDataCounter,aTime,aInputTorque,aSensorAngle
392,6282000000,-4.956815242767334,0.16938522458076477
393,6283000000,-5.0402679443359375,0.1703500747680664
394,6284000000,-5.0402679443359375,0.1713307946920395
395,6285000000,-3.9128518104553223,0.1722213476896286
396,6286000000,-3.9128518104553223,0.17312735319137573
397,6287000000,-4.157486915588379,0.174030601978302
398,6288000000,-4.157486915588379,0.1748560518026352
399,6289000000,-4.899332523345947,0.1757151335477829
400,6290000000,-4.899332523345947,0.17654114961624146
401,6291000000,-4.055810928344727,0.17730078101158142
402,6292000000,-4.055810928344727,0.17809802293777466
403,6293000000,-3.4416916370391846,0.17884141206741333
404,6294000000,-3.4416916370391846,0.17954793572425842
405,6295000000,-4.232480525970459,0.18029290437698364
406,6296000000,-4.232480525970459,0.18096879124641418
407,6297000000,-4.135967254638672,0.18162986636161804
408,6298000000,-4.135967254638672,0.1823103278875351
409,6299000000,-3.0825400352478027,0.1829131841659546
410,6300000000,-3.0825400352478027,0.18352726101875305
411,6301000000,-3.3212130069732666,0.1841459423303604
412,6302000000,-3.3212130069732666,0.18469594419002533
413,6303000000,-3.8807616233825684,0.1852748543024063
414,6304000000,-3.8807616233825684,0.18583174049854279
415,6305000000,-3.042015314102173,0.1863286793231964
416,6306000000,-3.042015314102173,0.18686088919639587
417,6307000000,-2.541208028793335,0.18735262751579285
418,6308000000,-2.541208028793335,0.18780982494354248
419,6309000000,-3.236306667327881,0.1883050948381424
420,6310000000,-3.236306667327881,0.18874460458755493
421,6311000000,-3.0552501678466797,0.1891687512397766
422,6312000000,-3.0552501678466797,0.1896161437034607
423,6313000000,-2.13061261177063,0.1899987906217575
424,6314000000,-2.13061261177063,0.19039031863212585
425,6315000000,-2.402970314025879,0.1907932609319687
426,6316000000,-2.402970314025879,0.1911371499300003
427,6317000000,-2.8466858863830566,0.1915065348148346
428,6318000000,-2.8466858863830566,0.19186381995677948
429,6319000000,-2.063788652420044,0.1921682059764862
430,6320000000,-2.063788652420044,0.19250594079494476
431,6321000000,-1.692672848701477,0.19281505048274994
432,6322000000,-1.692672848701477,0.1930926889181137
433,6323000000,-2.3250041007995605,0.19340771436691284
434,6324000000,-2.3250041007995605,0.19367891550064087
435,6325000000,-2.1052005290985107,0.19393494725227356
436,6326000000,-2.1052005290985107,0.19421695172786713
437,6327000000,-1.321550965309143,0.19444581866264343
438,6328000000,-1.321550965309143,0.19468165934085846
439,6329000000,-1.6324517726898193,0.19493408501148224
440,6330000000,-1.6324517726898193,0.19513623416423798
441,6331000000,-1.991660714149475,0.1953606754541397
442,6332000000,-1.991660714149475,0.19558097422122955
443,6333000000,-1.2823964357376099,0.19575488567352295
444,6334000000,-1.2823964357376099,0.19595982134342194
445,6335000000,-1.0320138931274414,0.19614587724208832
446,6336000000,-1.0320138931274414,0.19630330801010132
447,6337000000,-1.611457109451294,0.19649659097194672
448,6338000000,-1.611457109451294,0.19665606319904327
449,6339000000,-1.3740228414535522,0.1968005895614624
450,6340000000,-1.3740228414535522,0.19697238504886627
451,6341000000,-0.7239152789115906,0.19710096716880798
452,6342000000,-0.7239152789115906,0.19723455607891083
453,6343000000,-1.06374990940094,0.19738808274269104
454,6344000000,-1.06374990940094,0.19749893248081207
455,6345000000,-1.3534531593322754,0.19762872159481049
456,6346000000,-1.3534531593322754,0.19776032865047455
457,6347000000,-0.7200621366500854,0.1978512555360794
458,6348000000,-0.7200621366500854,0.19797033071517944
459,6349000000,-0.5718123912811279,0.19807815551757812
460,6350000000,-0.5718123912811279,0.19815979897975922
461,6351000000,-1.0991746187210083,0.19827494025230408
462,6352000000,-1.0991746187210083,0.19836440682411194
463,6353000000,-0.8538663983345032,0.19843901693820953
464,6354000000,-0.8538663983345032,0.19854091107845306
465,6355000000,-0.3223285377025604,0.19860786199569702
466,6356000000,-0.3223285377025604,0.19867776334285736
467,6357000000,-0.6773950457572937,0.19876939058303833
468,6358000000,-0.6773950457572937,0.19882477819919586
469,6359000000,-0.9059140682220459,0.198895663022995
470,6360000000,-0.9059140682220459,0.19897258281707764
471,6361000000,-0.34426960349082947,0.19901375472545624
472,6362000000,-0.34426960349082947,0.19907982647418976
473,6363000000,-0.2777198255062103,0.19914042949676514
474,6364000000,-0.2777198255062103,0.19917693734169006
475,6365000000,-0.751525342464447,0.19924397766590118
476,6366000000,-0.751525342464447,0.1992918848991394
477,6367000000,-0.5033901333808899,0.19932492077350616
478,6368000000,-0.5033901333808899,0.19938430190086365
479,6369000000,-0.07384971529245377,0.19941556453704834
480,6370000000,-0.07384971529245377,0.19944773614406586
481,6371000000,-0.4311261773109436,0.19950221478939056
482,6372000000,-0.4311261773109436,0.1995258927345276
483,6373000000,-0.604621171951294,0.1995617002248764
484,6374000000,-0.604621171951294,0.19960635900497437
485,6375000000,-0.10862275958061218,0.19961954653263092
486,6376000000,-0.10862275958061218,0.1996542066335678
487,6377000000,-0.10496411472558975,0.19968774914741516
488,6378000000,-0.10496411472558975,0.19969898462295532
489,6379000000,-0.5243367552757263,0.19973747432231903
490,6380000000,-0.5243367552757263,0.19976206123828888
